Average_of_Ratings,Average_Number_of_Reviews,Total_Number_of_Reviews,Total_Returned,Data_License
3.8,13,13,1,24981
4.3,16,16,1,25011
4.1,23,23,1,25021
4,18,18,1,25031
4,348,348,1,25051
4.5,16,16,1,25061
4,26,26,1,25071
3.8,29,29,1,25091
3.9,28,28,1,25101
3.9,28,28,1,25102
4.4,198,198,1,25104
3.3,28,28,1,25111
3.9,39,39,1,25141
3.9,263,526,2,25152
3.4,73,292,4,25159
4.1,15,15,1,25179
1.75,7.5,30,4,25181
4.1,1271,1271,1,25252
3.2,18,18,1,25281
3.7,17,17,1,25291
0,0,0,1,25302
4.2,2037,2037,1,25338
3.1,22,22,1,25361
4.8,36,72,2,25368
4.2,16,32,2,25371
2.83,7.33,22,3,25391
3.3,30,30,1,25401
4.8,180,180,1,25411
3.2,15,15,1,25431
2.8,25,25,1,25441
3.2,22,22,1,25451
3.42,8,40,5,25471
3.9,18,18,1,25493
4.3,14,28,2,25521
3.2,33,33,1,25571
1.75,16,64,4,25581
4.4,129,129,1,25582
3.4,20,40,2,25591
4.7,6,6,1,25621
4.1,17,17,1,25631
3.7,20.5,41,2,25661
3.5,23,46,2,25681
4.3,403.17,2419,6,25693
3.9,25,25,1,25751
2.55,11,22,2,25841
4.2,12.33,37,3,25861
4.7,123,123,1,25875
2.1,14,14,1,25921
3.6,7,21,3,25941
3.74,167.6,838,5,25946
3.5,10,10,1,25991
4.55,17.5,35,2,26041
4.8,5,5,1,26051
2.5,4,4,1,26061
4.8,9,9,1,26091
3.6,25,25,1,26117
1.61,11.33,102,9,26191
4.2,12,24,2,26231
4.5,572,572,1,26247
4,361,361,1,26266
2,5,10,2,26281
4.4,278,278,1,26296
4.45,7.5,15,2,26301
3.9,29,29,1,26331
4.35,859,1718,2,26358
3.4,5,5,1,26371
4.2,202.5,1620,8,26483
4.2,28.5,228,8,26521
4.4,1169.5,2339,2,26528
2.3,3,3,1,26541
4.9,7,14,2,26609
3.6,20,20,1,26631
3.5,4,8,2,26651
3.4,22,44,2,26701
4.25,748.25,2993,4,26748
4.1,12.5,25,2,26751
4.1,42,42,1,26771
4.2,15.75,63,4,26791
4.5,111,111,1,26813
3.6,25,25,1,26831
3.5,13,13,1,26841
4.4,604,604,1,26855
4.05,87,174,2,26857
3.7,16,16,1,26871
3.8,21,21,1,26881
4.4,135,135,1,26892
3.8,93,279,3,26898
3.35,40,80,2,26921
4.3,49,49,1,26972
4.3,432,432,1,26999
2.33,27.5,110,4,27121
3.87,177,1593,9,27123
4.7,156,156,1,27137
4.2,43,43,1,27393
4.7,15,15,1,27480
4.2,154,308,2,27508
4.2,166,166,1,27617
4.03,226.75,907,4,27794
4.6,93,93,1,27835
3.8,90,180,2,27866
4.2,386,386,1,27874
4.4,91,91,1,27947
4.4,611,1222,2,28008
4.1,17,34,2,28038
4.5,13,13,1,28081
4.4,84,84,1,28114
4.8,27,54,2,28233
4.7,106,106,1,28260
4.4,19,19,1,28299
4.4,462,462,1,28434
4.8,22,22,1,28452
3.8,57,57,1,28489
4.5,315,315,1,28851
4.2,172,172,1,28853
4.5,917,917,1,28886
0,0,0,1,29031
4.73,8.33,25,3,29051
4,17,17,1,29071
