Average_of_Ratings,Average_Number_of_Reviews,Total_Number_of_Reviews,Total_Returned,Data_License
4.18,264.5,2116,8,1991945
4.4,336,336,1,1992050
4.4,336,336,1,1992060
4.8,83,83,1,1992491
4.6,527,527,1,1992565
3.7,141,141,1,1997579
4.27,307.33,1844,6,1997591
4.5,149,298,2,1997607
4.27,243.5,1461,6,1997624
4.2,152,152,1,1997628
4.1,139,139,1,1997650
4.4,806,806,1,1997874
3.5,380,380,1,1998221
4.4,308,308,1,1998392
4.3,564,1128,2,1998619
4.17,91.33,548,6,1998846
4.1,165,165,1,1998968
4.55,24.5,49,2,1999075
3.2,44,88,2,2002633
4.25,162.5,325,2,2002685
4.55,247,494,2,2002759
4,823,1646,2,2002822
4.6,409,409,1,2002885
3.3,55,55,1,2003002
4.55,183,366,2,2003847
4.47,115.25,461,4,2004040
4.4,1064,3192,3,2004043
3.85,160,320,2,2004146
4.1,44,88,2,2004216
4.4,71,71,1,2004285
3.7,101,101,1,2004404
3.6,22,22,1,2004459
4.5,375,375,1,2004585
4,12,12,1,2004626
4,1,1,1,2008126
4.2,558.5,1117,2,2008409
4.4,69,138,2,2008639
4.7,19,19,1,2008652
3.9,707.5,2830,4,2008723
4.3,236,472,2,2008835
4.3,64,64,1,2008922
4.21,281.12,2249,8,2009055
4.3,563,1126,2,2009371
3.7,558.5,1117,2,2009382
4.4,421,421,1,2009543
4.4,290,870,3,2013241
4.17,87,261,3,2013307
3.88,184.75,1478,8,2013410
4.1,82,164,2,2013419
4.5,137,137,1,2013448
3.9,387,774,2,2013590
4.9,15,15,1,2013707
4.2,379,379,1,2013819
3.9,242,484,2,2014055
4.32,463.25,1853,4,2016725
4.4,200,400,2,2016793
4.2,152,304,2,2017114
4.7,3,6,2,2017141
4.5,1260,1260,1,2017268
5,2,4,2,2017431
4.25,605.5,1211,2,2017764
4.4,402,402,1,2017992
4.28,53.83,323,6,2021084
4.5,119,119,1,2021170
4.4,890,890,1,2021329
4.2,261,522,2,2021350
4.2,641,1282,2,2021367
4.7,3,3,1,2021498
4.3,456,456,1,2021538
4.6,238,476,2,2021552
4.4,260,260,1,2021600
4.4,590,1180,2,2021688
4.4,189,189,1,2021764
2.97,61,183,3,2022089
4.2,227,227,1,2022109
4.3,502,502,1,2022125
4.43,428.67,1286,3,2022387
4.23,85.67,257,3,2026584
4.2,332,1992,6,2026715
4.5,985,985,1,2026743
4.3,751,751,1,2026847
4.2,550,1100,2,2026899
4.1,790,1580,2,2027100
2.37,95.83,575,6,2027137
4.02,163,978,6,2027214
3.9,106,212,2,2027332
4.3,722,1444,2,2027592
4.6,129,129,1,2031440
4,264,264,1,2031570
4.4,48,144,3,2031651
4.6,1043.33,3130,3,2031719
4.6,348,696,2,2031732
4.6,602,1204,2,2031862
4.5,153.5,614,4,2032247
2.2,39,39,1,2032399
4.4,39,39,1,2032557
4.6,235,235,1,2032777
4.3,165,330,2,2032864
3.52,242.38,1939,8,2032949
4.4,266,532,2,2032955
4.4,259,259,1,2033045
4,276,276,1,2033170
4.5,23,23,1,2033242
3.4,10,10,1,2034634
3.6,11,11,1,2034637
4.4,63,63,1,2036397
4.3,1650,1650,1,2036402
3.6,70,70,1,2036995
4.65,203.5,814,4,2037079
3.87,148.33,445,3,2037179
4.9,56,168,3,2037284
4.2,127,254,2,2037965
4.7,17,17,1,2040639
4.6,10,10,1,2040649
3,6,12,2,2040659
4.4,17,17,1,2040661
4.2,15,15,1,2040668
3.8,25,25,1,2040683
3.55,12,24,2,2040685
4.1,13,26,2,2040687
2.25,302.5,605,2,2041814
3.45,22,88,4,2042000
4.6,427,854,2,2042072
4.7,217,217,1,2042118
4.8,71,142,2,2042631
4.6,10,10,1,2042634
4,19,19,1,2042643
4.6,9,9,1,2042653
4.2,38,114,3,2042772
4.2,218,872,4,2042823
4.1,129,129,1,2042857
4.15,86.5,173,2,2042858
4.1,102,204,2,2042872
4.5,288,288,1,2042998
4.45,363.5,1454,4,2043064
4.4,133,133,1,2043237
4.2,303,909,3,2043260
4.2,113,226,2,2043368
2.88,4.4,22,5,2043444
4.12,376.5,1506,4,2043451
4.1,36,36,1,2043470
3.85,160,640,4,2043502
4.65,575,2300,4,2043542
4.2,155,310,2,2043549
4.2,13,13,1,2046637
3.7,5.33,16,3,2046644
4.1,9,27,3,2046661
4.1,14.33,43,3,2046662
3.3,13,13,1,2046668
4.5,10.5,84,8,2046675
3.5,2,4,2,2046680
4.1,20,40,2,2046682
4.47,4.67,14,3,2046684
4.5,19,38,2,2046685
4.05,5,10,2,2046686
4.1,9.67,29,3,2046698
4.4,23,46,2,2046699
1,6,12,2,2046707
4.8,54,54,1,2048183
4.3,1301,1301,1,2048358
4.3,432,432,1,2048510
3.7,72,72,1,2048536
4.4,214,214,1,2048647
4.8,672,672,1,2048650
3.2,17,17,1,2048653
4.1,96,192,2,2048701
4.5,81,81,1,2048777
3.8,162,324,2,2048785
4.03,325.25,2602,8,2048849
4.6,20.67,124,6,2048920
3.4,22,22,1,2049010
5,24,48,2,2049272
4.9,36,36,1,2049410
2.6,10,10,1,2052709
4.4,13,13,1,2052716
2.83,4,12,3,2053884
4.4,829,829,1,2054767
4.5,67,134,2,2055074
3.58,90.8,454,5,2055163
4,69,207,3,2055272
4.13,145,435,3,2055457
4.4,602,602,1,2055653
4.4,12,12,1,2058664
3.7,29,29,1,2058666
4.2,50,50,1,2059426
4.1,97,97,1,2059601
4.1,144.5,578,4,2059799
4.45,95.5,382,4,2059922
4.6,1121,1121,1,2060126
4.1,482,482,1,2060138
4.8,85,340,4,2060206
4.5,767,767,1,2060219
4.4,176.5,353,2,2060250
4.6,84,84,1,2060329
4.1,319,1276,4,2060545
4.45,530.5,1061,2,2060730
4.8,38,38,1,2060820
4.1,101,101,1,2060959
4.2,211,211,1,2064210
4.27,1294.33,3883,3,2064310
4.1,366,366,1,2064446
4.6,911,1822,2,2064460
4.65,380,760,2,2064590
4.5,309,309,1,2064928
3.9,169.5,339,2,2065097
2.93,457,1371,3,2065142
4.3,747.67,4486,6,2065167
4.3,35,35,1,2065274
4.5,221,221,1,2065298
4.04,311.57,2181,7,2065455
3.8,61,122,2,2066649
3.6,40,80,2,2066699
4.4,627,1254,2,2068654
4.3,92,184,2,2068658
4.67,339,2034,6,2068861
4.35,166,332,2,2068942
4.15,109.17,655,6,2068951
4.43,877.67,2633,3,2068953
4.2,142,710,5,2069042
4.3,208,208,1,2069148
4.18,125.4,627,5,2069193
3.83,233,699,3,2069204
4.19,81.5,652,8,2069435
4.6,301,602,2,2069506
4.2,692.5,2770,4,2069681
3.7,572,1144,2,2069749
4.3,54,162,3,2069755
4.4,246,246,1,2069782
4.5,301,602,2,2069923
3.53,136.75,1094,8,2069938
4.35,58,116,2,2069984
4.3,889,889,1,2073681
4.5,332,332,1,2074062
4.2,104,208,2,2074097
4.5,480,480,1,2074427
3.9,715,715,1,2074456
4.1,809,1618,2,2074472
4,1029,3087,3,2074515
4.4,784,784,1,2074594
3.7,41,41,1,2074632
4.3,208,208,1,2076638
3.1,17,17,1,2076639
0,0,0,1,2076658
4.2,1281,1281,1,2078712
4.6,1650,6600,4,2078719
4.07,361.67,2170,6,2078723
4.6,82,82,1,2078749
4.7,217,434,2,2078772
4.2,176,528,3,2078867
4.2,352,352,1,2078887
4.5,12,12,1,2078898
4.6,95,190,2,2078906
4.4,339.5,1358,4,2079020
4.5,109,109,1,2079091
4.6,23,23,1,2079264
3.73,43,301,7,2079504
4.3,27,54,2,2079591
3.7,116,232,2,2079621
4.6,220,660,3,2079685
4.4,231.67,2085,9,2079703
4.4,53,159,3,2079741
0,0,0,1,2079754
4.55,128.5,771,6,2083412
4.5,346,346,1,2083473
4.2,11,11,1,2083631
4,3,3,1,2083683
4.38,30.25,121,4,2083723
2.62,84,336,4,2083787
3.1,206.67,1240,6,2083849
4.4,203,203,1,2083875
4.6,236,472,2,2083897
4.1,967,967,1,2084171
4.42,666.5,2666,4,2084336
4.1,543.71,3806,7,2084407
3.8,15,15,1,2084415
4.2,369,1107,3,2084592
4.4,85,85,1,2087651
3.8,76,76,1,2088313
4.5,148,148,1,2088498
4.7,1684,3368,2,2088562
4.6,2990,5980,2,2088572
3.9,118,118,1,2088686
4.4,84,84,1,2088718
4.4,250,500,2,2088868
4.33,607,3642,6,2088929
4.4,192,192,1,2088985
3.84,497.2,2486,5,2089154
4.65,23.5,47,2,2089353
4.4,5,5,1,2092641
4.37,614.33,1843,3,2092973
3.95,38,76,2,2093000
4.2,87,174,2,2093128
4.3,310,310,1,2093205
4.4,5,5,1,2093247
4.2,46,92,2,2093508
4.3,275,550,2,2093641
4.23,865.67,7791,9,2093849
4.4,95.5,573,6,2093889
4.12,517.5,4140,8,2094011
4.45,965.5,1931,2,2094212
4.4,343,1029,3,2094585
4.5,509,1018,2,2097901
4.3,117,117,1,2097956
4.4,85,85,1,2097969
4.4,130,130,1,2098003
3.5,27,54,2,2098634
4.1,52,52,1,2098643
4.7,377,754,2,2098852
3.9,56,56,1,2098861
4.5,272,272,1,2099242
4.6,454,454,1,2099265
4.5,110.33,331,3,2099465
2.8,2.33,7,3,2102640
5,7,7,1,2102660
4.1,243,243,1,2102697
3.8,6,6,1,2102742
4.4,242.33,727,3,2103048
4.2,464,464,1,2103725
4.4,529,1058,2,2104172
4.4,125,125,1,2104217
5,4,4,1,2104305
4.4,642,642,1,2104463
4.4,252.5,505,2,2104487
4.1,143,286,2,2108013
4.35,125.5,502,4,2108163
4.2,30,90,3,2108215
4.38,505.5,2022,4,2108329
4.4,181,362,2,2108499
0,0,0,3,2108586
4.6,30,30,1,2108640
4.7,124,124,1,2109080
4.4,70,70,1,2109251
4.5,486,972,2,2109577
4.4,554,1108,2,2109706
4.1,336,336,1,2109816
4.6,27,27,1,2109877
3.8,17,34,2,2112668
2.97,2.67,8,3,2112674
4.3,315,315,1,2113557
4.6,85.5,342,4,2113649
4.07,221.5,1329,6,2113690
4.6,241,482,2,2114079
4.9,8,8,1,2114226
2.6,323,323,1,2114300
3.3,21,21,1,2114424
4,73,146,2,2114508
4.7,9,9,1,2114749
4.8,5,5,1,2114895
4.8,55,55,1,2114917
4.8,1272,1272,1,2115046
4.7,150,150,1,2115332
4.5,28,56,2,2119905
4.6,390,780,2,2119915
4.37,146.33,439,3,2119949
4.3,859,3436,4,2120185
4,180,360,2,2120365
4.6,1968,1968,1,2120388
4.4,31,31,1,2120452
4.9,113,226,2,2120493
3.47,57.33,344,6,2120806
4.8,605,605,1,2120919
4.2,348,696,2,2121030
3.8,234,234,1,2121162
4.5,397,397,1,2121289
3.8,93,93,1,2121306
4.5,83,83,1,2121437
4.6,12,24,2,2124413
4.1,20,80,4,2124427
4.6,143,143,1,2124534
3.85,233.5,934,4,2125103
3.3,174,522,3,2125165
4.1,543.86,3807,7,2125189
4.4,195,390,2,2125360
3.55,31.5,63,2,2125555
4.25,28,56,2,2128637
5,4,16,4,2129010
4.2,50,100,2,2129025
4.5,40,40,1,2129312
4.3,126,126,1,2129570
4.5,688,1376,2,2129639
4.5,16,64,4,2129684
4.12,517.5,4140,8,2129727
4.3,121,968,8,2129814
4.6,593,593,1,2129834
4.1,361.5,2892,8,2129846
4.13,65,195,3,2130250
3.9,76,152,2,2130274
4.6,51.67,465,9,2130324
4.5,3300,6600,2,2133590
4.5,87,87,1,2133603
4.15,684.5,1369,2,2133635
4.6,195,585,3,2133719
4.3,419,838,2,2133760
3.75,234.75,939,4,2133867
4.2,126,378,3,2133877
4.5,760,760,1,2133895
4.3,192,192,1,2133985
4.4,1196,1196,1,2133988
3.4,64,128,2,2134004
4.6,342,342,1,2134047
4,23,46,2,2134050
4.1,279,279,1,2134087
4,297,297,1,2134104
4.3,267,801,3,2134168
4.5,114,114,1,2134237
4.8,362,362,1,2134292
3.9,546.33,1639,3,2134452
4.3,484,484,1,2134495
4.1,33,33,1,2134579
4.1,33,33,1,2134588
4.5,6,12,2,2134694
4.3,27,27,1,2134773
4.8,9508,9508,1,2134785
3.65,131.5,263,2,2134789
4.5,192,192,1,2137144
3.7,457,457,1,2137182
4.35,166.5,333,2,2137188
4.42,213.8,1069,5,2137239
4.2,935,1870,2,2137310
3.5,6,6,1,2137926
4.1,89,89,1,2137941
3.2,56,56,1,2138051
4.3,206,206,1,2138119
4.3,191,191,1,2138152
4.55,696.5,1393,2,2138159
4.5,305,305,1,2138161
4.1,253,253,1,2138319
4.45,122,488,4,2138384
0,0,0,1,2138637
4.4,33,33,1,2138649
4.4,112,112,1,2141146
4.7,47,47,1,2141327
4.4,602,602,1,2141345
4.35,774,1548,2,2141406
4.45,276,1656,6,2141409
4.2,221,221,1,2141717
4.07,481.33,2888,6,2141879
3.9,100.5,201,2,2142129
4.1,248,496,2,2142330
4.3,26,52,2,2142649
4.3,9,18,2,2142655
4.65,7.5,15,2,2142665
4.2,493,493,1,2142688
4.2,23,23,1,2142755
4.3,99,99,1,2146327
4.5,139,417,3,2146500
2.33,363.75,1455,4,2146563
4.3,160,160,1,2146568
4.77,821.67,2465,3,2146584
4.4,345,345,1,2146735
4.6,279,279,1,2146811
3.7,132,132,1,2146937
3.7,429.67,2578,6,2147539
4.1,89,89,1,2147560
4.7,413,413,1,2147679
4.53,2383.75,19070,8,2147714
4,41,164,4,2147911
4.3,392.5,785,2,2148023
4.4,189,189,1,2151959
4.87,69.67,209,3,2151983
4.5,185,185,1,2152011
4.67,161,483,3,2152021
3.9,268,536,2,2152231
5,5,5,1,2152301
4.25,273,1092,4,2152343
4.4,211,211,1,2152583
4.6,2113,2113,1,2152669
3.3,207,414,2,2152750
4.4,118,118,1,2152828
4.1,92,92,1,2152960
4.4,269,538,2,2152972
4,268,268,1,2153175
4.1,43,43,1,2153284
4.45,185.5,371,2,2153439
4.5,3538,3538,1,2153445
4.3,118,118,1,2153455
4.5,175,700,4,2156798
4.5,119,238,2,2156804
3.8,385,770,2,2156947
4.4,179,179,1,2157189
4.3,160,320,2,2157363
4.2,72,72,1,2157451
4.4,110,110,1,2157477
4.5,430,430,1,2157501
4.72,73.25,293,4,2157520
4.5,146,438,3,2157547
4.4,111,222,2,2157756
3.7,151,151,1,2157766
4.4,8,8,1,2158002
4.1,17,17,1,2158051
4.2,111,111,1,2158229
4.4,624,1872,3,2158450
4.4,85,85,1,2162235
4.5,3404,3404,1,2162354
3.4,68,136,2,2162440
4.4,70,140,2,2162577
3.5,313,313,1,2163013
4.8,31,62,2,2163519
4.25,1237,4948,4,2163554
3.4,69,69,1,2163614
4.4,534,1068,2,2163618
3.8,1143,1143,1,2163665
4.3,73,146,2,2163723
4.5,109,218,2,2163786
3.9,92,92,1,2163841
4.4,91.5,183,2,2163983
4,1293,6465,5,2164056
4.2,93,279,3,2164105
4.7,31,31,1,2164139
4.3,272,272,1,2164154
3.9,82,82,1,2164181
4.55,900.5,3602,4,2172454
4.2,83,83,1,2177026
4.5,232,464,2,2177113
4.7,1828,1828,1,2177119
5,5,5,1,2177328
4.4,67,67,1,2177676
3.7,27,27,1,2177795
4.3,68,68,1,2177798
4.43,13.25,53,4,2177832
4.3,292,292,1,2177836
4.5,237,237,1,2177841
4.2,603,603,1,2177842
4.35,122.5,245,2,2177985
4.5,64,64,1,2178035
4.2,118,118,1,2179179
3.9,108.25,433,4,2179622
4.2,200,200,1,2179843
4.26,69.6,348,5,2180050
0,0,0,1,2183484
3.6,113,226,2,2183768
4.6,129,129,1,2183957
4.12,517.5,4140,8,2184050
4.35,78,156,2,2184200
4.5,230,460,2,2184244
4.5,557,1114,2,2184394
4.5,148,148,1,2184562
4,94,94,1,2184654
4.5,221,442,2,2184944
4.3,839.5,1679,2,2184967
4,546,546,1,2184968
4.3,334.5,669,2,2185026
3.9,791,791,1,2185066
4.3,240,480,2,2185077
4,166,166,1,2185180
3.85,325.5,651,2,2185442
4.27,136.67,410,3,2188943
4.6,172,172,1,2189327
4.8,10,10,1,2189351
4.2,91,182,2,2189389
3.9,120,120,1,2189408
3.9,24,24,1,2189442
4.3,2303,2303,1,2189449
4.45,249,498,2,2189458
4.2,5,5,1,2192636
4.23,61.33,184,3,2192735
4,55,55,1,2192750
3.8,363,726,2,2192751
4.23,317.67,1906,6,2192848
4.3,158,474,3,2192852
4.1,59,118,2,2192944
4.03,666,3996,6,2192963
2.5,78,156,2,2192971
4.1,171,342,2,2195950
4.1,133,133,1,2195981
4.2,268,268,1,2196046
4.1,103,103,1,2196203
4.5,276,276,1,2196251
4.2,371,371,1,2196302
4.6,71,142,2,2196466
4.3,152,152,1,2196595
4.2,196,196,1,2196604
4.13,157.33,944,6,2196728
4.13,157.33,472,3,2196732
4,56,56,1,2196745
4.5,485,485,1,2196808
4.25,78.75,315,4,2196813
4.3,145.88,1167,8,2196815
4.4,279,279,1,2196830
4.4,695,695,1,2196866
4.12,714.67,4288,6,2196989
4.5,278,278,1,2197036
4.5,799,2397,3,2197134
4.35,353,706,2,2198202
4.38,301,1204,4,2198209
4.4,110.5,663,6,2202121
4.6,122,244,2,2202147
4.4,64,64,1,2202156
4.1,21,21,1,2202172
4.05,79,158,2,2202277
4.1,498,996,2,2202278
4.2,284,284,1,2202296
4,435,435,1,2202308
4.5,167,334,2,2202317
4.6,156,156,1,2202338
4.2,24,24,1,2202383
3.9,167,167,1,2202395
4.7,316,316,1,2202462
4.6,16,16,1,2202618
3.6,25,25,1,2202620
4.1,14,14,1,2202621
3.8,35,35,1,2202622
3.5,45,90,2,2202623
3.8,51,102,2,2202624
3.7,18,18,1,2202626
4.5,643.5,1287,2,2202818
4.1,112.5,450,4,2202828
2.1,53.5,214,4,2202891
4.4,22,22,1,2202908
3.85,160,320,2,2203097
4.3,160,160,1,2203103
4.9,58,232,4,2203113
4.4,967,967,1,2203329
4.53,1461.33,4384,3,2203417
3.74,72.88,583,8,2203506
4.2,37,37,1,2203561
4.6,486,972,2,2203563
3.93,36.33,109,3,2203996
3.32,476.75,3814,8,2204045
4.5,428,428,1,2204097
3.83,629.14,4404,7,2204143
1.8,9,9,1,2204179
2.17,21,168,8,2204185
3.1,44,44,1,2204186
3.3,23,46,2,2204189
2.7,11,11,1,2204191
3.4,12,12,1,2204228
4.5,17,17,1,2204243
5,4,4,1,2204244
1.4,10,10,1,2204252
4.1,190,380,2,2204272
2.1,122,122,1,2204276
2.7,15,30,2,2204282
1.5,24,48,2,2204286
2.3,9,9,1,2204300
2.5,10,20,2,2204311
3.7,24,24,1,2204327
3.8,48,96,2,2204341
4.65,4,16,4,2204373
2.3,9,18,2,2204502
2,2,4,2,2204504
1.46,42.8,214,5,2204505
4.4,33,33,1,2204601
1.9,46,46,1,2204602
4.9,11,11,1,2204604
5,2,2,1,2204605
3.4,57,57,1,2204616
3.9,15,15,1,2204618
3.9,15,15,1,2204619
3.9,15,15,1,2204620
3.37,17.33,52,3,2204679
4.1,21,42,2,2204698
4.6,5,10,2,2205081
4.6,91,91,1,2205115
1.6,7,7,1,2205116
4.3,32,32,1,2205135
4.7,7,7,1,2205217
3.8,548,548,1,2205276
4.3,12,24,2,2205289
2.2,54.33,163,3,2205299
4.7,190,380,2,2205580
4.7,190,190,1,2205581
3.3,33,33,1,2205586
2.9,189,189,1,2205589
2.95,115.5,231,2,2205607
2.95,115.5,231,2,2205608
3.2,152,152,1,2205620
1.13,6,18,3,2206030
4.3,9,9,1,2206671
4.7,18,18,1,2206680
4.3,7,7,1,2206836
2,23,46,2,2207227
4.3,12,24,2,2207509
1.9,13,26,2,2207938
2.6,16,16,1,2207939
4,12,12,1,2208054
1.7,18,18,1,2208371
4,3,3,1,2208407
4.8,9,9,1,2208635
2.5,10,20,2,2208642
5,1,1,1,2208688
3.2,10,10,1,2208689
3.4,22,22,1,2208932
4.05,20.5,123,6,2209564
4.5,12,12,1,2210755
3.1,19.67,59,3,2210898
3.8,30,30,1,2211292
3.8,15,30,2,2211322
1.5,1,2,2,2211455
4.2,11,11,1,2211553
4.38,30.25,121,4,2211581
5,1,3,3,2215462
3.5,8,16,2,2215472
4.3,8,8,1,2215474
1,2,2,1,2215475
2.65,6,24,4,2215476
3.55,7.75,31,4,2215477
2.6,4.17,25,6,2215478
4.8,5,5,1,2215486
4.2,11,22,2,2215487
4,1,1,1,2215493
3.9,12,24,2,2215503
4.46,6.2,31,5,2215510
4.58,5.5,22,4,2215511
4.8,4,4,1,2215523
5,10,10,1,2215524
5,2,2,1,2215525
5,1,1,1,2215526
3.8,10,10,1,2215535
4.3,7,7,1,2215537
0,0,0,1,2215541
1.5,1,2,2,2215542
4.6,24,48,2,2215547
3.23,8.33,50,6,2215550
4.6,16,32,2,2215552
5,6,12,2,2215553
4.4,11,11,1,2215558
4.43,53,159,3,2215561
3.55,7.75,31,4,2215563
4.7,6,6,1,2215566
4.8,4,4,1,2215567
4,4,4,1,2215568
4.4,9,9,1,2215569
4.6,7,14,2,2215572
1,2,4,2,2215573
3,1,1,1,2215581
3.85,9,18,2,2215588
3.5,4,4,1,2215589
3.7,3,3,1,2215590
0,0,0,1,2215591
5,4,4,1,2215606
0,0,0,1,2215607
2.83,6,18,3,2215610
3.3,3,3,1,2215611
3.5,5,20,4,2215617
4.4,4,8,2,2215620
4.8,9,9,1,2215622
4.9,33,33,1,2215628
2.3,3,3,1,2215632
4,3,6,2,2215633
2,2,2,1,2215640
5,4,4,1,2215647
3.2,5,5,1,2215654
5,1,1,1,2215655
4,3,6,2,2215658
4.4,7,7,1,2215660
4.6,18,18,1,2215661
0,0,0,1,2215672
4.8,9,9,1,2215682
3.7,5,10,2,2215683
3.7,5,10,2,2215684
5,1,1,1,2215703
4.4,5,5,1,2215704
3.1,49,49,1,2215705
4.4,32,96,3,2215706
4,100,100,1,2215707
5,4,4,1,2215708
0,0,0,2,2215709
4.65,6.5,13,2,2215710
4.8,24,24,1,2215716
4.4,5,5,1,2215722
5,5,5,1,2215727
3.52,6.6,33,5,2215729
3.77,7.33,44,6,2215730
5,4,4,1,2215734
5,3,12,4,2215742
5,2,2,1,2215744
5,7,7,1,2215750
3.2,152,152,1,2215759
3.9,7,7,1,2215760
4.7,14,14,1,2215761
4.85,2,4,2,2215763
4,6,6,1,2215766
0,0,0,1,2215767
4,1,1,1,2215775
3.75,2,8,4,2215780
3.05,1.75,7,4,2215781
3.75,2,4,2,2215783
2,2,2,1,2215801
4.8,4,4,1,2215802
5,2,2,1,2215803
0,0,0,1,2215809
4.5,14.5,29,2,2215810
3.33,1.67,15,9,2215822
3.33,1.67,5,3,2215824
3.8,10,10,1,2215826
1.1,4,8,2,2215828
3,4,4,1,2215831
4.05,6,24,4,2215834
5,4,8,2,2215835
4.9,27,27,1,2215838
5,4,4,1,2215839
4.7,10.5,21,2,2215840
4.7,10.5,21,2,2215841
4.5,24.75,99,4,2215855
2.25,1,6,6,2215858
0,0,0,1,2215864
3,7,7,1,2215867
4.2,5,5,1,2215875
2.52,5.25,21,4,2215878
4.1,10,20,2,2215882
3.8,9,18,2,2215883
0,0,0,1,2215884
5,6,6,1,2215893
0,0,0,1,2215899
5,3,6,2,2215903
1.6,8,8,1,2215912
4.32,16.2,81,5,2215926
3.2,22,22,1,2215931
4.4,7,14,2,2215932
5,2,2,1,2215937
4,4,4,1,2215943
5,1,1,1,2215944
0,0,0,2,2215954
4.4,14,14,1,2215957
0,0,0,1,2215961
0,0,0,2,2215969
1,1,1,1,2215973
4,5,5,1,2215975
5,1,1,1,2215980
0,0,0,8,2215982
4.6,10,10,1,2215983
0,0,0,3,2215984
4.37,25.33,76,3,2215990
4.2,5,5,1,2215992
3.7,6,6,1,2215996
2.91,5.14,36,7,2215997
4.25,8.5,34,4,2216002
0.73,2.67,8,3,2216004
4.1,7.5,15,2,2216008
3.9,7,28,4,2216017
5,3,3,1,2216024
4.65,36,72,2,2216030
5,1,2,2,2216033
5,3,6,2,2216038
5,10,10,1,2216042
5,4,4,1,2216051
4.7,13,13,1,2216052
0,0,0,1,2216060
2,30,30,1,2216067
4.9,8,8,1,2216077
0,0,0,2,2216081
4.85,12.5,25,2,2216094
4.65,14,28,2,2216095
5,2,4,2,2216100
4,4,4,1,2216102
3.8,5,5,1,2216103
4.6,9,27,3,2216104
5,1,1,1,2216107
4.7,21,42,2,2216116
0,0,0,1,2216117
3,6,6,1,2216124
1.5,0.5,1,2,2216133
4.7,3,3,1,2216136
5,1,1,1,2216151
3,5,10,2,2216164
4.9,7,7,1,2216173
5,4,4,1,2216178
3,2,2,1,2216182
4.5,2,2,1,2216192
4.2,5,10,2,2216206
5,7,7,1,2216213
3.7,4.5,9,2,2216862
3.7,4.5,9,2,2216863
3,3,3,1,2216868
3.75,19,38,2,2216872
0,0,0,1,2216873
1.7,6,6,1,2216934
3.5,6,12,2,2218497
4.4,16,16,1,2218620
3.93,97,873,9,2219945
4.1,9,18,2,2219965
5,3,6,2,2220002
3.52,8.25,33,4,2220008
4,8,8,1,2220015
4.34,646.86,4528,7,2220531
3.7,9,9,1,2220707
4.6,148,148,1,2220756
4.35,161,644,4,2220904
4.4,239,239,1,2220915
4.55,46.5,186,4,2220948
4.6,16,64,4,2220951
5,4,8,2,2220978
0,0,0,1,2221191
2.8,34,34,1,2221574
3.85,159,636,4,2221581
4.5,430,860,2,2221636
4.3,6,6,1,2221638
4.1,360,720,2,2222174
4.3,22,44,2,2222180
4.2,380.5,761,2,2222204
4.3,165,165,1,2222223
4.7,422,422,1,2222314
3.7,12,12,1,2224746
4.5,6,6,1,2224807
3.7,32,32,1,2224881
5,1,1,1,2224883
4.8,226,226,1,2224896
0,0,0,1,2224924
4.7,7,7,1,2224935
4.3,55,110,2,2224948
3.2,9,9,1,2224959
3,4,4,1,2224974
3.3,13.5,54,4,2224978
4.3,12.5,25,2,2224996
4.3,16,16,1,2225030
4.8,4,4,1,2225042
3.7,3,3,1,2225057
4.3,52,52,1,2225080
4.7,16,32,2,2225081
5,3,3,1,2225295
4.1,101,101,1,2225302
2.8,27,54,2,2225361
2.7,6,6,1,2225368
4.73,7.33,22,3,2225381
5,1,1,1,2225390
4.3,51,153,3,2225423
4.3,15,15,1,2225433
3.6,8,8,1,2225441
4.4,16,16,1,2225453
4.7,6.5,13,2,2225475
4.95,7,14,2,2225478
4,63,126,2,2225524
5,1.5,3,2,2225569
3.6,13,26,2,2225592
3.7,6,6,1,2225598
4.8,11,11,1,2225641
4.6,82,82,1,2225654
4.5,771.5,1543,2,2229420
4.5,904,904,1,2229533
2.5,0.5,1,2,2231591
4.1,825,825,1,2231638
4.1,543.71,3806,7,2231682
4.22,992.5,3970,4,2231723
4.2,253,506,2,2231808
4.2,1860,1860,1,2231880
0,0,0,2,2231901
3.8,279,558,2,2231918
4.25,157.33,944,6,2231962
4,127,254,2,2231999
4.4,336,336,1,2232060
4.3,130,130,1,2232086
4.4,148.5,297,2,2232132
2.2,65,130,2,2232395
3.8,185,185,1,2232454
5,1,1,1,2232538
3.7,157.33,944,6,2232836
4.3,1151,3453,3,2232840
4.4,105,105,1,2233026
4.1,539,539,1,2233057
4.4,90,90,1,2233089
4.3,115,115,1,2233209
4.6,183,183,1,2234061
4.4,308,308,1,2234204
4.5,660.43,4623,7,2234215
4.4,284,568,2,2234977
4.54,536.6,2683,5,2235049
3.7,134,134,1,2235054
4.2,46,92,2,2240202
4.5,336,672,2,2240281
4.4,167,167,1,2240723
4.6,600,600,1,2240731
4.68,6514.25,26057,4,2240854
4.8,56,112,2,2241067
1,1,1,1,2241077
3.8,8,8,1,2243639
3.8,603,603,1,2245254
4,3.5,7,2,2245322
4,102,510,5,2245326
4.3,47,47,1,2245335
4.7,183,183,1,2245461
2.5,25,25,1,2245580
3.9,992.5,1985,2,2245694
3.9,333,666,2,2245731
4.5,106,106,1,2245839
4.3,286,858,3,2245840
4.5,180,180,1,2245884
3.71,303.71,2126,7,2245929
