Average of Ratings,Average Number of Reviews,Total Number of Reviews,Total Returned,Data License
4.0,4.0,4,1,23671.0
4.6,122.0,122,1,23683.0
2.0,10.5,21,2,23752.0
4.6,11.0,11,1,23772.0
3.8,20.0,20,1,23821.0
3.4,13.0,26,2,23851.0
3.9,8.0,32,4,23901.0
3.2,26.0,26,1,23911.0
3.9,366.0,366,1,23917.0
4.3,20.0,20,1,23921.0
3.0,20.0,20,1,23951.0
4.5,10.0,10,1,23961.0
4.9,10.0,10,1,23971.0
4.8,5.0,5,1,23981.0
4.1,7.0,7,1,23991.0
2.8,17.0,17,1,24011.0
3.2,24.0,48,2,24021.0
3.8,8.0,8,1,24051.0
4.4,8.0,8,1,24102.0
3.3,23.0,23,1,24151.0
4.37,9.33,28,3,24191.0
4.4,11.5,23,2,24201.0
4.5,38.0,38,1,24221.0
2.8,32.0,32,1,24231.0
4.4,285.0,285,1,24239.0
3.8,15.0,15,1,24241.0
3.4,15.0,15,1,24251.0
3.9,54.0,108,2,24281.0
3.2,5.0,10,2,24311.0
4.0,27.0,27,1,24341.0
3.7,7.0,7,1,24371.0
3.8,12.0,24,2,24382.0
4.7,102.0,204,2,24438.0
0.0,0.0,0,1,24462.0
4.8,6.0,6,1,24481.0
3.9,37.0,37,1,24531.0
4.8,16.0,16,1,24551.0
1.92,14.8,74,5,24571.0
3.5,10.0,10,1,24591.0
4.7,8659.0,8659,1,24601.0
3.5,19.0,38,2,24611.0
3.5,13.0,26,2,24621.0
3.3,17.0,34,2,24641.0
4.4,31.0,31,1,24661.0
4.1,29.0,58,2,24671.0
3.6,21.0,21,1,24681.0
3.6,21.0,21,1,24682.0
3.5,25.0,25,1,24691.0
3.93,206.33,619,3,24692.0
4.57,119.67,359,3,24696.0
4.8,4.0,4,1,24711.0
3.3,28.0,28,1,24721.0
3.6,26.0,26,1,24731.0
4.0,16.0,16,1,24751.0
4.3,6.0,6,1,24761.0
4.1,27.0,54,2,24821.0
4.35,166.0,332,2,24851.0
4.3,28.0,28,1,24871.0
4.35,8.5,17,2,24881.0
4.3,144.0,144,1,24883.0
3.1,9.0,9,1,24911.0
4.1,21.0,21,1,24931.0
4.1,40.0,40,1,24941.0
0.0,0.0,0,3,24951.0
3.8,16.0,16,1,24961.0
3.8,12.0,12,1,24971.0
3.8,13.0,13,1,24981.0
4.3,16.0,16,1,25011.0
4.1,23.0,23,1,25021.0
4.0,18.0,18,1,25031.0
4.0,348.0,348,1,25051.0
4.5,16.0,16,1,25061.0
4.0,26.0,26,1,25071.0
3.8,29.0,29,1,25091.0
3.9,28.0,28,1,25101.0
3.9,28.0,28,1,25102.0
4.4,198.0,198,1,25104.0
3.3,28.0,28,1,25111.0
3.9,39.0,39,1,25141.0
3.9,263.0,526,2,25152.0
3.4,73.0,292,4,25159.0
4.1,15.0,15,1,25179.0
1.75,7.5,30,4,25181.0
4.1,1271.0,1271,1,25252.0
3.2,18.0,18,1,25281.0
3.7,17.0,17,1,25291.0
0.0,0.0,0,1,25302.0
4.2,2037.0,2037,1,25338.0
3.1,22.0,22,1,25361.0
4.8,36.0,72,2,25368.0
4.2,16.0,32,2,25371.0
2.83,7.33,22,3,25391.0
3.3,30.0,30,1,25401.0
4.8,180.0,180,1,25411.0
3.2,15.0,15,1,25431.0
2.8,25.0,25,1,25441.0
3.2,22.0,22,1,25451.0
3.42,8.0,40,5,25471.0
3.9,18.0,18,1,25493.0
4.3,14.0,28,2,25521.0
3.2,33.0,33,1,25571.0
1.75,16.0,64,4,25581.0
4.4,129.0,129,1,25582.0
3.4,20.0,40,2,25591.0
4.7,6.0,6,1,25621.0
4.1,17.0,17,1,25631.0
3.7,20.5,41,2,25661.0
3.5,23.0,46,2,25681.0
4.3,403.17,2419,6,25693.0
3.9,25.0,25,1,25751.0
2.55,11.0,22,2,25841.0
4.2,12.33,37,3,25861.0
4.7,123.0,123,1,25875.0
2.1,14.0,14,1,25921.0
3.6,7.0,21,3,25941.0
3.74,167.6,838,5,25946.0
3.5,10.0,10,1,25991.0
4.55,17.5,35,2,26041.0
4.8,5.0,5,1,26051.0
2.5,4.0,4,1,26061.0
4.8,9.0,9,1,26091.0
3.6,25.0,25,1,26117.0
1.61,11.33,102,9,26191.0
4.2,12.0,24,2,26231.0
4.5,572.0,572,1,26247.0
4.0,361.0,361,1,26266.0
2.0,5.0,10,2,26281.0
4.4,278.0,278,1,26296.0
4.45,7.5,15,2,26301.0
3.9,29.0,29,1,26331.0
4.35,859.0,1718,2,26358.0
3.4,5.0,5,1,26371.0
4.2,202.5,1620,8,26483.0
4.2,28.5,228,8,26521.0
4.4,1169.5,2339,2,26528.0
2.3,3.0,3,1,26541.0
4.9,7.0,14,2,26609.0
3.6,20.0,20,1,26631.0
3.5,4.0,8,2,26651.0
3.4,22.0,44,2,26701.0
4.25,748.25,2993,4,26748.0
4.1,12.5,25,2,26751.0
4.1,42.0,42,1,26771.0
4.2,15.75,63,4,26791.0
4.5,111.0,111,1,26813.0
3.6,25.0,25,1,26831.0
3.5,13.0,13,1,26841.0
4.4,604.0,604,1,26855.0
4.05,87.0,174,2,26857.0
3.7,16.0,16,1,26871.0
3.8,21.0,21,1,26881.0
4.4,135.0,135,1,26892.0
3.8,93.0,279,3,26898.0
3.35,40.0,80,2,26921.0
4.3,49.0,49,1,26972.0
4.3,432.0,432,1,26999.0
2.33,27.5,110,4,27121.0
3.87,177.0,1593,9,27123.0
4.7,156.0,156,1,27137.0
4.2,43.0,43,1,27393.0
4.7,15.0,15,1,27480.0
4.2,154.0,308,2,27508.0
4.2,166.0,166,1,27617.0
4.03,226.75,907,4,27794.0
4.6,93.0,93,1,27835.0
3.8,90.0,180,2,27866.0
4.2,386.0,386,1,27874.0
4.4,91.0,91,1,27947.0
4.4,611.0,1222,2,28008.0
4.1,17.0,34,2,28038.0
4.5,13.0,13,1,28081.0
4.4,84.0,84,1,28114.0
4.8,27.0,54,2,28233.0
4.7,106.0,106,1,28260.0
4.4,19.0,19,1,28299.0
4.4,462.0,462,1,28434.0
4.8,22.0,22,1,28452.0
3.8,57.0,57,1,28489.0
4.5,315.0,315,1,28851.0
4.2,172.0,172,1,28853.0
4.5,917.0,917,1,28886.0
0.0,0.0,0,1,29031.0
4.73,8.33,25,3,29051.0
4.0,17.0,17,1,29071.0
4.3,24.0,48,2,29081.0
3.9,8.0,8,1,29111.0
4.2,29.0,29,1,29121.0
3.6,32.0,32,1,29131.0
4.3,54.0,54,1,29132.0
2.41,12.5,100,8,29141.0
4.0,25.0,25,1,29151.0
4.3,24.0,48,2,29161.0
3.8,33.0,33,1,29171.0
4.0,53.0,53,1,29177.0
4.6,9.0,9,1,29181.0
4.7,23.0,46,2,29191.0
3.8,20.0,20,1,29201.0
4.1,7.0,7,1,29211.0
3.5,39.0,78,2,29231.0
4.6,11.0,11,1,29261.0
4.1,38.0,76,2,29291.0
4.2,66.0,66,1,29301.0
3.4,16.0,16,1,29311.0
4.2,232.0,464,2,29331.0
4.0,16.0,16,1,29345.0
3.5,16.0,16,1,29371.0
4.0,45.0,90,2,29401.0
4.2,9.0,9,1,29411.0
5.0,4.0,4,1,29494.0
4.13,276.33,829,3,29514.0
4.7,479.0,958,2,29539.0
4.5,122.0,122,1,29551.0
4.1,98.0,98,1,29962.0
4.3,17.0,34,2,29966.0
4.4,20.0,20,1,30031.0
4.2,5.0,10,2,30051.0
4.5,14.0,14,1,30071.0
4.3,8.0,16,2,30081.0
4.8,18.0,36,2,30101.0
5.0,4.0,4,1,30121.0
3.41,1003.89,9035,9,30142.0
4.4,842.5,1685,2,30144.0
4.7,21.0,21,1,30270.0
4.2,274.0,822,3,30598.0
4.5,406.0,406,1,30737.0
4.6,1787.0,3574,2,30743.0
4.6,126.86,888,7,30853.0
3.5,636.5,1273,2,30962.0
3.75,649.25,5194,8,31036.0
